Paper ID,Paper Title,Approach ID,Approach description
26,A Game Theory Approach for Assisting Humans in Online Information-Sharing,4,
27,Artificial intelligence: Risks to privacy and democracy,1,
27,Artificial intelligence: Risks to privacy and democracy,4,
28,Privacy and artificial intelligence: challenges for protecting health information in a new era,1,
28,Privacy and artificial intelligence: challenges for protecting health information in a new era,4,
29,Regulating the internet of things: discrimination privacy and cybersecurity in the artificial intelligence age,1,
29,Regulating the internet of things: discrimination privacy and cybersecurity in the artificial intelligence age,4,
30,More than privacy: Applying differential privacy in key areas of artificial intelligence,1,
30,More than privacy: Applying differential privacy in key areas of artificial intelligence,2,
30,More than privacy: Applying differential privacy in key areas of artificial intelligence,3,
31,A role of artificial intelligence techniques in security and privacy issues of social networking,4,
32,Claudette meets gdpr: Automating the evaluation of privacy policies using artificial intelligence,2,
33,Comparative legal study on privacy and personal data protection for robots equipped with artificial intelligence: looking at functional and technological aspects,1,
33,Comparative legal study on privacy and personal data protection for robots equipped with artificial intelligence: looking at functional and technological aspects,4,
34,Enhanced privacy and data protection using natural language processing and artificial intelligence,1,
35,Trusted ai in multiagent systems: An overview of privacy and security for distributed learning,1,
35,Trusted ai in multiagent systems: An overview of privacy and security for distributed learning,4,
36,AI-driven public services and the privacy paradox: do citizens really care about their privacy?,4,
37,Privacy and data protection in the age of pervasive technologies in AI and robotics,1,
37,Privacy and data protection in the age of pervasive technologies in AI and robotics,4,
38,Consumer privacy protection with the growth of AI-empowered online shopping based on the evolutionary game model,1,
38,Consumer privacy protection with the growth of AI-empowered online shopping based on the evolutionary game model,4,
39,When AI meets Information Privacy: The Adversarial Role of AI in Data Sharing Scenario,1,
39,When AI meets Information Privacy: The Adversarial Role of AI in Data Sharing Scenario,4,
40,Protecting data privacy in the age of AI-enabled ophthalmology,4,
41,Privacy algorithms and artificial intelligence,1,
41,Privacy algorithms and artificial intelligence,4,
42,PRIVACY PREVENTION OF HEALTH CARE DATA USING AI,2,
42,PRIVACY PREVENTION OF HEALTH CARE DATA USING AI,4,
43,An AI-enabled three-party game framework for guaranteed data privacy in mobile edge crowdsensing of IoT,1,
44,Towards behavioral privacy: How to understand ai's privacy threats in ubiquitous computing,1,
44,Towards behavioral privacy: How to understand ai's privacy threats in ubiquitous computing,4,
45,Privacy preserving AI services through data decentralization,1,
45,Privacy preserving AI services through data decentralization,4,
46,"Emotional AI, soft biometrics and the surveillance of emotional life: An unusual consensus on privacy",1,
46,"Emotional AI, soft biometrics and the surveillance of emotional life: An unusual consensus on privacy",4,
47,AI privacy opinions between US and Chinese people,1,
47,AI privacy opinions between US and Chinese people,4,
48,AI-driven IoT for smart health care: Security and privacy issues,1,
48,AI-driven IoT for smart health care: Security and privacy issues,4,
49,Assessing behavioral data science privacy issues in government artificial intelligence deployment,1,
49,Assessing behavioral data science privacy issues in government artificial intelligence deployment,4,
50,Incorporating FAT and privacy aware AI modeling approaches into business decision making frameworks,1,
50,Incorporating FAT and privacy aware AI modeling approaches into business decision making frameworks,4,
51,There will be less privacy of course: How and why people in 10 countries expect AI will affect privacy in the future,4,
52,You can’t have AI both ways: balancing health data privacy and access fairly,4,
53,"AI Ethics, Security, and Privacy",1,
54,Security and privacy issues in deep learning,3,
54,Security and privacy issues in deep learning,4,
55,"A review of artificial intelligence in security and privacy: Research advances, applications, opportunities, and challenges",1,
55,"A review of artificial intelligence in security and privacy: Research advances, applications, opportunities, and challenges",4,
56,Data privacy and artificial intelligence (AI): How AI collects data and its impact on data privacy,2,
56,Data privacy and artificial intelligence (AI): How AI collects data and its impact on data privacy,4,
57,When machine learning meets privacy in 6G: A survey,1,
57,When machine learning meets privacy in 6G: A survey,4,
58,Smile for the camera: Privacy and policy implications of emotion AI,1,
58,Smile for the camera: Privacy and policy implications of emotion AI,4,
59,"Artificial Intelligence (AI) trust framework and maturity model: applying an entropy lens to improve security, privacy, and ethical AI",1,
59,"Artificial Intelligence (AI) trust framework and maturity model: applying an entropy lens to improve security, privacy, and ethical AI",4,
60,Cognitive privacy: AI-enabled privacy using EEG signals in the internet of things,2,
61,Privacy-preserving crowd-guided AI decision-making in ethical dilemmas,2,
61,Privacy-preserving crowd-guided AI decision-making in ethical dilemmas,4,
62,Towards security and privacy for edge AI in IoT/IoE based digital marketing environments,2,
63,"How AI encourages consumers to share their secrets? The role of anthropomorphism, personalisation, and privacy concerns and avenues for future research",1,
63,"How AI encourages consumers to share their secrets? The role of anthropomorphism, personalisation, and privacy concerns and avenues for future research",4,
64,"Federated Learning and Differential Privacy: Software tools analysis, the Sherpa. ai FL framework and methodological guidelines for preserving data privacy. ",2,
64,"Federated Learning and Differential Privacy: Software tools analysis, the Sherpa. ai FL framework and methodological guidelines for preserving data privacy. ",4,
65,Can AI Be for Good in the Midst of Cyber Attacks and Privacy Violations? A Position Paper,4,
66,"A Survey on Metaverse: Fundamentals, Security, and Privacy",3,
66,"A Survey on Metaverse: Fundamentals, Security, and Privacy",4,
67,Is it Possible to Preserve Privacy in the Age of AI?,4,
68,Protecting Privacy in an AI-Driven World,4,
69,"Emergent AI, social robots and the law: Security, privacy and policy issues",3,
69,"Emergent AI, social robots and the law: Security, privacy and policy issues",4,
70,PrivPAS: A real time Privacy-Preserving AI System and applied ethics,3,
71,Protecting multimedia privacy from both humans and AI,2,
72,"Trustworthy distributed ai systems: Robustness, privacy, and governance",1,
72,"Trustworthy distributed ai systems: Robustness, privacy, and governance",4,
73,When machine learning meets privacy: A survey and outlook,3,
73,When machine learning meets privacy: A survey and outlook,4,
74,National Security and Federalizing Data Privacy Infrastructure for AI Governance,4,
75,Evaluating if trust and personal information privacy concerns are barriers to using health insurance that explicitly utilizes AI. ,4,
76,Implementing Privacy-Preserving and Collaborative Industrial AI,1,
76,Implementing Privacy-Preserving and Collaborative Industrial AI,4,
77,Distributed Learning: A Reliable Privacy-Preserving Strategy to Change Multicenter Collaborations Using AI,1,
77,Distributed Learning: A Reliable Privacy-Preserving Strategy to Change Multicenter Collaborations Using AI,4,
78,Perception of Privacy and Data Protection in the Context of the Development of Artificial Intelligence,1,
78,Perception of Privacy and Data Protection in the Context of the Development of Artificial Intelligence,4,
79,AI in My Life: AI Ethics & Privacy Workshops for 15-16-Year-Olds,4,
80,Towards Explainable and Privacy-Preserving Artificial Intelligence for Personalisation in Autism Spectrum Disorder,1,
80,Towards Explainable and Privacy-Preserving Artificial Intelligence for Personalisation in Autism Spectrum Disorder,4,
81,Flexible privacy and high trust in the next generation internet: The use case of a cloud-based marketplace for AI.,1,
81,Flexible privacy and high trust in the next generation internet: The use case of a cloud-based marketplace for AI.,4,
82,Privacy-preserving and explainable AI for cardiovascular imaging.,1,
82,Privacy-preserving and explainable AI for cardiovascular imaging.,4,
83,Privacy-preserving scoring of tree ensembles: A novel framework for AI in healthcare.,2,
83,Privacy-preserving scoring of tree ensembles: A novel framework for AI in healthcare.,4,
84,Advancing COVID-19 diagnosis with privacy-preserving collaboration in artificial intelligence.,2,
84,Advancing COVID-19 diagnosis with privacy-preserving collaboration in artificial intelligence.,4,
85,Addressing the privacy concerns in the use of IoT devices in healthcare.,2,
85,Addressing the privacy concerns in the use of IoT devices in healthcare.,4,
86,A survey of privacy risks and mitigation strategies in the Artificial intelligence life cycle.,3,
86,A survey of privacy risks and mitigation strategies in the Artificial intelligence life cycle.,4,
87,"Digital transformation for sustainable development goals (SDGs)-a security, safety and privacy perspective on AI.",1,
87,"Digital transformation for sustainable development goals (SDGs)-a security, safety and privacy perspective on AI.",4,
88,Secure privacy-preserving and federated machine learning in medical imaging,1,
88,Secure privacy-preserving and federated machine learning in medical imaging,4,
89,"Emotion AI at work: Implications for workplace surveillance, emotional labor, and emotional privacy. ",1,
89,"Emotion AI at work: Implications for workplace surveillance, emotional labor, and emotional privacy. ",4,
90,Privacy-preserving AI-enabled video surveillance for social distancing: Responsible design and deployment for public spaces,2,
91,Preserving the Healthcare Data by Using PPDM Technique. ,5,
92,Privacy-preserving data (stream) mining techniques and their impact on data mining accuracy: a systematic literature review,5,
93,Privacy-Preserving Data Mining (PPDM),5,
94,IoT privacy-preserving data mining with dynamic incentive mechanism.,5,
