Paper ID,Paper Title,Action ID,Action Description
11,Privacy-preserving artificial intelligence in healthcare: Techniques and applications,4,
11,Privacy-preserving artificial intelligence in healthcare: Techniques and applications,5,
12,Privacy-preserving AI services through data decentralization,1,
12,Privacy-preserving AI services through data decentralization,2,
13,Federated learning for privacy-preserving AI,2,
14,Ethics and privacy of artificial intelligence: Understandings from bibliometrics,2,
14,Ethics and privacy of artificial intelligence: Understandings from bibliometrics,3,
14,Ethics and privacy of artificial intelligence: Understandings from bibliometrics,6,
15,"Smart contract privacy protection using AI in cyber-physical systems: tools, techniques, and challenges",1,
15,"Smart contract privacy protection using AI in cyber-physical systems: tools, techniques, and challenges",2,
15,"Smart contract privacy protection using AI in cyber-physical systems: tools, techniques, and challenges",3,
15,"Smart contract privacy protection using AI in cyber-physical systems: tools, techniques, and challenges",4,
16,Toward a Comprehensive Framework for Ensuring Security and Privacy in Artificial Intelligence,1,
16,Toward a Comprehensive Framework for Ensuring Security and Privacy in Artificial Intelligence,2,
16,Toward a Comprehensive Framework for Ensuring Security and Privacy in Artificial Intelligence,3,
16,Toward a Comprehensive Framework for Ensuring Security and Privacy in Artificial Intelligence,4,
16,Toward a Comprehensive Framework for Ensuring Security and Privacy in Artificial Intelligence,5,
16,Toward a Comprehensive Framework for Ensuring Security and Privacy in Artificial Intelligence,6,
17,Privacy and security of big data in AI systems: A research and standards perspective,1,
17,Privacy and security of big data in AI systems: A research and standards perspective,2,
17,Privacy and security of big data in AI systems: A research and standards perspective,3,
17,Privacy and security of big data in AI systems: A research and standards perspective,4,
17,Privacy and security of big data in AI systems: A research and standards perspective,5,
18,Undermining user privacy on mobile devices using AI,1,
18,Undermining user privacy on mobile devices using AI,2,
18,Undermining user privacy on mobile devices using AI,5,
19,AI-enabled automation for completeness checking of privacy policies,2,
19,AI-enabled automation for completeness checking of privacy policies,5,
19,AI-enabled automation for completeness checking of privacy policies,6,
20,Privacy Protection Technology in the Age of AI,4,
20,Privacy Protection Technology in the Age of AI,5,
21,Privacy in AI and the IoT: The privacy concerns of smart speaker users and the Personal Information Protection Law in China,1,
21,Privacy in AI and the IoT: The privacy concerns of smart speaker users and the Personal Information Protection Law in China,2,
21,Privacy in AI and the IoT: The privacy concerns of smart speaker users and the Personal Information Protection Law in China,4,
21,Privacy in AI and the IoT: The privacy concerns of smart speaker users and the Personal Information Protection Law in China,5,
21,Privacy in AI and the IoT: The privacy concerns of smart speaker users and the Personal Information Protection Law in China,6,
22,Taking AI personally: how the EU must learn to balance the interests of personal data privacy & artificial intelligence,2,
22,Taking AI personally: how the EU must learn to balance the interests of personal data privacy & artificial intelligence,4,
22,Taking AI personally: how the EU must learn to balance the interests of personal data privacy & artificial intelligence,5,
22,Taking AI personally: how the EU must learn to balance the interests of personal data privacy & artificial intelligence,6,
23,Artificial intelligence and consumer privacy,1,
23,Artificial intelligence and consumer privacy,2,
23,Artificial intelligence and consumer privacy,3,
23,Artificial intelligence and consumer privacy,4,
23,Artificial intelligence and consumer privacy,5,
23,Artificial intelligence and consumer privacy,6,
24,Review of artificial intelligence adversarial attack and defense technologies,1,
24,Review of artificial intelligence adversarial attack and defense technologies,2,
24,Review of artificial intelligence adversarial attack and defense technologies,3,
24,Review of artificial intelligence adversarial attack and defense technologies,4,
24,Review of artificial intelligence adversarial attack and defense technologies,5,
25,Adversarial attacks and defenses in deep learning: From a perspective of cybersecurity,1,
25,Adversarial attacks and defenses in deep learning: From a perspective of cybersecurity,2,
25,Adversarial attacks and defenses in deep learning: From a perspective of cybersecurity,3,
25,Adversarial attacks and defenses in deep learning: From a perspective of cybersecurity,4,
25,Adversarial attacks and defenses in deep learning: From a perspective of cybersecurity,5,
26,A Game Theory Approach for Assisting Humans in Online Information-Sharing,1,
26,A Game Theory Approach for Assisting Humans in Online Information-Sharing,2,
26,A Game Theory Approach for Assisting Humans in Online Information-Sharing,3,
26,A Game Theory Approach for Assisting Humans in Online Information-Sharing,4,
26,A Game Theory Approach for Assisting Humans in Online Information-Sharing,5,
27,Artificial intelligence: Risks to privacy and democracy,1,
27,Artificial intelligence: Risks to privacy and democracy,2,
27,Artificial intelligence: Risks to privacy and democracy,3,
27,Artificial intelligence: Risks to privacy and democracy,4,
27,Artificial intelligence: Risks to privacy and democracy,5,
27,Artificial intelligence: Risks to privacy and democracy,6,
28,Privacy and artificial intelligence: challenges for protecting health information in a new era,4,
28,Privacy and artificial intelligence: challenges for protecting health information in a new era,5,
28,Privacy and artificial intelligence: challenges for protecting health information in a new era,6,
29,Regulating the internet of things: discrimination privacy and cybersecurity in the artificial intelligence age,2,
29,Regulating the internet of things: discrimination privacy and cybersecurity in the artificial intelligence age,4,
29,Regulating the internet of things: discrimination privacy and cybersecurity in the artificial intelligence age,5,
29,Regulating the internet of things: discrimination privacy and cybersecurity in the artificial intelligence age,6,
30,More than privacy: Applying differential privacy in key areas of artificial intelligence,1,
30,More than privacy: Applying differential privacy in key areas of artificial intelligence,2,
30,More than privacy: Applying differential privacy in key areas of artificial intelligence,3,
30,More than privacy: Applying differential privacy in key areas of artificial intelligence,4,
30,More than privacy: Applying differential privacy in key areas of artificial intelligence,5,
31,A role of artificial intelligence techniques in security and privacy issues of social networking,4,
31,A role of artificial intelligence techniques in security and privacy issues of social networking,5,
32,Claudette meets gdpr: Automating the evaluation of privacy policies using artificial intelligence,2,
32,Claudette meets gdpr: Automating the evaluation of privacy policies using artificial intelligence,4,
32,Claudette meets gdpr: Automating the evaluation of privacy policies using artificial intelligence,6,
33,Comparative legal study on privacy and personal data protection for robots equipped with artificial intelligence: looking at functional and technological aspects,2,
33,Comparative legal study on privacy and personal data protection for robots equipped with artificial intelligence: looking at functional and technological aspects,4,
33,Comparative legal study on privacy and personal data protection for robots equipped with artificial intelligence: looking at functional and technological aspects,6,
34,Enhanced privacy and data protection using natural language processing and artificial intelligence,2,
34,Enhanced privacy and data protection using natural language processing and artificial intelligence,4,
34,Enhanced privacy and data protection using natural language processing and artificial intelligence,5,
35,Trusted ai in multiagent systems: An overview of privacy and security for distributed learning,2,
35,Trusted ai in multiagent systems: An overview of privacy and security for distributed learning,4,
35,Trusted ai in multiagent systems: An overview of privacy and security for distributed learning,5,
35,Trusted ai in multiagent systems: An overview of privacy and security for distributed learning,6,
36,AI-driven public services and the privacy paradox: do citizens really care about their privacy?,4,
36,AI-driven public services and the privacy paradox: do citizens really care about their privacy?,5,
36,AI-driven public services and the privacy paradox: do citizens really care about their privacy?,6,
37,Privacy and data protection in the age of pervasive technologies in AI and robotics,4,
37,Privacy and data protection in the age of pervasive technologies in AI and robotics,5,
37,Privacy and data protection in the age of pervasive technologies in AI and robotics,6,
38,Consumer privacy protection with the growth of AI-empowered online shopping based on the evolutionary game model,2,
38,Consumer privacy protection with the growth of AI-empowered online shopping based on the evolutionary game model,4,
38,Consumer privacy protection with the growth of AI-empowered online shopping based on the evolutionary game model,5,
38,Consumer privacy protection with the growth of AI-empowered online shopping based on the evolutionary game model,6,
39,When AI meets Information Privacy: The Adversarial Role of AI in Data Sharing Scenario,1,
39,When AI meets Information Privacy: The Adversarial Role of AI in Data Sharing Scenario,2,
39,When AI meets Information Privacy: The Adversarial Role of AI in Data Sharing Scenario,3,
39,When AI meets Information Privacy: The Adversarial Role of AI in Data Sharing Scenario,4,
39,When AI meets Information Privacy: The Adversarial Role of AI in Data Sharing Scenario,5,
40,Protecting data privacy in the age of AI-enabled ophthalmology,2,
40,Protecting data privacy in the age of AI-enabled ophthalmology,3,
40,Protecting data privacy in the age of AI-enabled ophthalmology,4,
40,Protecting data privacy in the age of AI-enabled ophthalmology,5,
40,Protecting data privacy in the age of AI-enabled ophthalmology,6,
41,Privacy algorithms and artificial intelligence,2,
41,Privacy algorithms and artificial intelligence,3,
41,Privacy algorithms and artificial intelligence,4,
41,Privacy algorithms and artificial intelligence,5,
42,PRIVACY PREVENTION OF HEALTH CARE DATA USING AI,2,
42,PRIVACY PREVENTION OF HEALTH CARE DATA USING AI,3,
42,PRIVACY PREVENTION OF HEALTH CARE DATA USING AI,6,
43,An AI-enabled three-party game framework for guaranteed data privacy in mobile edge crowdsensing of IoT,2,
43,An AI-enabled three-party game framework for guaranteed data privacy in mobile edge crowdsensing of IoT,3,
43,An AI-enabled three-party game framework for guaranteed data privacy in mobile edge crowdsensing of IoT,5,
44,Towards behavioral privacy: How to understand ai's privacy threats in ubiquitous computing,2,
44,Towards behavioral privacy: How to understand ai's privacy threats in ubiquitous computing,3,
44,Towards behavioral privacy: How to understand ai's privacy threats in ubiquitous computing,4,
44,Towards behavioral privacy: How to understand ai's privacy threats in ubiquitous computing,5,
45,Privacy preserving AI services through data decentralization,2,
45,Privacy preserving AI services through data decentralization,3,
46,"Emotional AI, soft biometrics and the surveillance of emotional life: An unusual consensus on privacy",2,
46,"Emotional AI, soft biometrics and the surveillance of emotional life: An unusual consensus on privacy",3,
46,"Emotional AI, soft biometrics and the surveillance of emotional life: An unusual consensus on privacy",5,
46,"Emotional AI, soft biometrics and the surveillance of emotional life: An unusual consensus on privacy",6,
47,AI privacy opinions between US and Chinese people,3,
47,AI privacy opinions between US and Chinese people,4,
47,AI privacy opinions between US and Chinese people,5,
47,AI privacy opinions between US and Chinese people,6,
48,AI-driven IoT for smart health care: Security and privacy issues,3,
48,AI-driven IoT for smart health care: Security and privacy issues,4,
48,AI-driven IoT for smart health care: Security and privacy issues,5,
48,AI-driven IoT for smart health care: Security and privacy issues,6,
49,Assessing behavioral data science privacy issues in government artificial intelligence deployment,3,
49,Assessing behavioral data science privacy issues in government artificial intelligence deployment,4,
49,Assessing behavioral data science privacy issues in government artificial intelligence deployment,5,
49,Assessing behavioral data science privacy issues in government artificial intelligence deployment,6,
50,Incorporating FAT and privacy aware AI modeling approaches into business decision making frameworks,3,
50,Incorporating FAT and privacy aware AI modeling approaches into business decision making frameworks,4,
50,Incorporating FAT and privacy aware AI modeling approaches into business decision making frameworks,5,
51,There will be less privacy of course: How and why people in 10 countries expect AI will affect privacy in the future,3,
51,There will be less privacy of course: How and why people in 10 countries expect AI will affect privacy in the future,4,
51,There will be less privacy of course: How and why people in 10 countries expect AI will affect privacy in the future,5,
52,You can’t have AI both ways: balancing health data privacy and access fairly,1,
52,You can’t have AI both ways: balancing health data privacy and access fairly,2,
52,You can’t have AI both ways: balancing health data privacy and access fairly,3,
52,You can’t have AI both ways: balancing health data privacy and access fairly,4,
52,You can’t have AI both ways: balancing health data privacy and access fairly,5,
53,"AI Ethics, Security, and Privacy",2,
53,"AI Ethics, Security, and Privacy",3,
53,"AI Ethics, Security, and Privacy",4,
53,"AI Ethics, Security, and Privacy",5,
54,Security and privacy issues in deep learning,1,
54,Security and privacy issues in deep learning,2,
54,Security and privacy issues in deep learning,3,
54,Security and privacy issues in deep learning,4,
54,Security and privacy issues in deep learning,5,
55,"A review of artificial intelligence in security and privacy: Research advances, applications, opportunities, and challenges",1,
55,"A review of artificial intelligence in security and privacy: Research advances, applications, opportunities, and challenges",2,
55,"A review of artificial intelligence in security and privacy: Research advances, applications, opportunities, and challenges",3,
55,"A review of artificial intelligence in security and privacy: Research advances, applications, opportunities, and challenges",4,
55,"A review of artificial intelligence in security and privacy: Research advances, applications, opportunities, and challenges",5,
56,Data privacy and artificial intelligence (AI): How AI collects data and its impact on data privacy,1,
56,Data privacy and artificial intelligence (AI): How AI collects data and its impact on data privacy,2,
56,Data privacy and artificial intelligence (AI): How AI collects data and its impact on data privacy,3,
56,Data privacy and artificial intelligence (AI): How AI collects data and its impact on data privacy,4,
56,Data privacy and artificial intelligence (AI): How AI collects data and its impact on data privacy,5,
57,When machine learning meets privacy in 6G: A survey,2,
57,When machine learning meets privacy in 6G: A survey,3,
57,When machine learning meets privacy in 6G: A survey,4,
57,When machine learning meets privacy in 6G: A survey,5,
58,Smile for the camera: Privacy and policy implications of emotion AI,2,
58,Smile for the camera: Privacy and policy implications of emotion AI,3,
58,Smile for the camera: Privacy and policy implications of emotion AI,4,
58,Smile for the camera: Privacy and policy implications of emotion AI,5,
58,Smile for the camera: Privacy and policy implications of emotion AI,6,
59,"Artificial Intelligence (AI) trust framework and maturity model: applying an entropy lens to improve security, privacy, and ethical AI",2,
59,"Artificial Intelligence (AI) trust framework and maturity model: applying an entropy lens to improve security, privacy, and ethical AI",3,
59,"Artificial Intelligence (AI) trust framework and maturity model: applying an entropy lens to improve security, privacy, and ethical AI",4,
59,"Artificial Intelligence (AI) trust framework and maturity model: applying an entropy lens to improve security, privacy, and ethical AI",5,
60,Cognitive privacy: AI-enabled privacy using EEG signals in the internet of things,2,
60,Cognitive privacy: AI-enabled privacy using EEG signals in the internet of things,4,
60,Cognitive privacy: AI-enabled privacy using EEG signals in the internet of things,5,
61,Privacy-preserving crowd-guided AI decision-making in ethical dilemmas,2,
61,Privacy-preserving crowd-guided AI decision-making in ethical dilemmas,3,
62,Towards security and privacy for edge AI in IoT/IoE based digital marketing environments,2,
62,Towards security and privacy for edge AI in IoT/IoE based digital marketing environments,3,
62,Towards security and privacy for edge AI in IoT/IoE based digital marketing environments,4,
62,Towards security and privacy for edge AI in IoT/IoE based digital marketing environments,5,
63,"How AI encourages consumers to share their secrets? The role of anthropomorphism, personalisation, and privacy concerns and avenues for future research",2,
63,"How AI encourages consumers to share their secrets? The role of anthropomorphism, personalisation, and privacy concerns and avenues for future research",3,
63,"How AI encourages consumers to share their secrets? The role of anthropomorphism, personalisation, and privacy concerns and avenues for future research",4,
63,"How AI encourages consumers to share their secrets? The role of anthropomorphism, personalisation, and privacy concerns and avenues for future research",5,
64,"Federated Learning and Differential Privacy: Software tools analysis, the Sherpa. ai FL framework and methodological guidelines for preserving data privacy. ",2,
65,Can AI Be for Good in the Midst of Cyber Attacks and Privacy Violations? A Position Paper,2,
65,Can AI Be for Good in the Midst of Cyber Attacks and Privacy Violations? A Position Paper,3,
65,Can AI Be for Good in the Midst of Cyber Attacks and Privacy Violations? A Position Paper,5,
66,"A Survey on Metaverse: Fundamentals, Security, and Privacy",1,
66,"A Survey on Metaverse: Fundamentals, Security, and Privacy",2,
66,"A Survey on Metaverse: Fundamentals, Security, and Privacy",3,
66,"A Survey on Metaverse: Fundamentals, Security, and Privacy",4,
66,"A Survey on Metaverse: Fundamentals, Security, and Privacy",5,
66,"A Survey on Metaverse: Fundamentals, Security, and Privacy",6,
67,Is it Possible to Preserve Privacy in the Age of AI?,2,
67,Is it Possible to Preserve Privacy in the Age of AI?,3,
67,Is it Possible to Preserve Privacy in the Age of AI?,4,
67,Is it Possible to Preserve Privacy in the Age of AI?,5,
68,Protecting Privacy in an AI-Driven World,3,
68,Protecting Privacy in an AI-Driven World,4,
68,Protecting Privacy in an AI-Driven World,5,
68,Protecting Privacy in an AI-Driven World,6,
69,"Emergent AI, social robots and the law: Security, privacy and policy issues",3,
69,"Emergent AI, social robots and the law: Security, privacy and policy issues",4,
69,"Emergent AI, social robots and the law: Security, privacy and policy issues",5,
69,"Emergent AI, social robots and the law: Security, privacy and policy issues",6,
70,PrivPAS: A real time Privacy-Preserving AI System and applied ethics,2,
70,PrivPAS: A real time Privacy-Preserving AI System and applied ethics,4,
70,PrivPAS: A real time Privacy-Preserving AI System and applied ethics,5,
71,Protecting multimedia privacy from both humans and AI,1,
71,Protecting multimedia privacy from both humans and AI,2,
71,Protecting multimedia privacy from both humans and AI,4,
71,Protecting multimedia privacy from both humans and AI,5,
72,"Trustworthy distributed ai systems: Robustness, privacy, and governance",1,
72,"Trustworthy distributed ai systems: Robustness, privacy, and governance",2,
72,"Trustworthy distributed ai systems: Robustness, privacy, and governance",4,
72,"Trustworthy distributed ai systems: Robustness, privacy, and governance",5,
72,"Trustworthy distributed ai systems: Robustness, privacy, and governance",6,
73,When machine learning meets privacy: A survey and outlook,1,
73,When machine learning meets privacy: A survey and outlook,2,
73,When machine learning meets privacy: A survey and outlook,3,
73,When machine learning meets privacy: A survey and outlook,4,
73,When machine learning meets privacy: A survey and outlook,5,
73,When machine learning meets privacy: A survey and outlook,6,
74,National Security and Federalizing Data Privacy Infrastructure for AI Governance,3,
74,National Security and Federalizing Data Privacy Infrastructure for AI Governance,4,
74,National Security and Federalizing Data Privacy Infrastructure for AI Governance,6,
75,Evaluating if trust and personal information privacy concerns are barriers to using health insurance that explicitly utilizes AI. ,3,
75,Evaluating if trust and personal information privacy concerns are barriers to using health insurance that explicitly utilizes AI. ,6,
76,Implementing Privacy-Preserving and Collaborative Industrial AI,3,
76,Implementing Privacy-Preserving and Collaborative Industrial AI,4,
76,Implementing Privacy-Preserving and Collaborative Industrial AI,5,
76,Implementing Privacy-Preserving and Collaborative Industrial AI,6,
77,Distributed Learning: A Reliable Privacy-Preserving Strategy to Change Multicenter Collaborations Using AI,3,
77,Distributed Learning: A Reliable Privacy-Preserving Strategy to Change Multicenter Collaborations Using AI,4,
78,Perception of Privacy and Data Protection in the Context of the Development of Artificial Intelligence,3,
78,Perception of Privacy and Data Protection in the Context of the Development of Artificial Intelligence,4,
78,Perception of Privacy and Data Protection in the Context of the Development of Artificial Intelligence,5,
78,Perception of Privacy and Data Protection in the Context of the Development of Artificial Intelligence,6,
79,AI in My Life: AI Ethics & Privacy Workshops for 15-16-Year-Olds,3,
79,AI in My Life: AI Ethics & Privacy Workshops for 15-16-Year-Olds,6,
80,Towards Explainable and Privacy-Preserving Artificial Intelligence for Personalisation in Autism Spectrum Disorder,2,
80,Towards Explainable and Privacy-Preserving Artificial Intelligence for Personalisation in Autism Spectrum Disorder,3,
80,Towards Explainable and Privacy-Preserving Artificial Intelligence for Personalisation in Autism Spectrum Disorder,4,
80,Towards Explainable and Privacy-Preserving Artificial Intelligence for Personalisation in Autism Spectrum Disorder,6,
81,Flexible privacy and high trust in the next generation internet: The use case of a cloud-based marketplace for AI.,2,
81,Flexible privacy and high trust in the next generation internet: The use case of a cloud-based marketplace for AI.,3,
81,Flexible privacy and high trust in the next generation internet: The use case of a cloud-based marketplace for AI.,4,
82,Privacy-preserving and explainable AI for cardiovascular imaging.,2,
82,Privacy-preserving and explainable AI for cardiovascular imaging.,3,
82,Privacy-preserving and explainable AI for cardiovascular imaging.,4,
82,Privacy-preserving and explainable AI for cardiovascular imaging.,6,
83,Privacy-preserving scoring of tree ensembles: A novel framework for AI in healthcare.,2,
83,Privacy-preserving scoring of tree ensembles: A novel framework for AI in healthcare.,3,
83,Privacy-preserving scoring of tree ensembles: A novel framework for AI in healthcare.,4,
83,Privacy-preserving scoring of tree ensembles: A novel framework for AI in healthcare.,6,
84,Advancing COVID-19 diagnosis with privacy-preserving collaboration in artificial intelligence.,2,
84,Advancing COVID-19 diagnosis with privacy-preserving collaboration in artificial intelligence.,3,
84,Advancing COVID-19 diagnosis with privacy-preserving collaboration in artificial intelligence.,4,
84,Advancing COVID-19 diagnosis with privacy-preserving collaboration in artificial intelligence.,6,
85,Addressing the privacy concerns in the use of IoT devices in healthcare.,2,
85,Addressing the privacy concerns in the use of IoT devices in healthcare.,3,
85,Addressing the privacy concerns in the use of IoT devices in healthcare.,4,
85,Addressing the privacy concerns in the use of IoT devices in healthcare.,6,
86,A survey of privacy risks and mitigation strategies in the Artificial intelligence life cycle.,1,
86,A survey of privacy risks and mitigation strategies in the Artificial intelligence life cycle.,2,
86,A survey of privacy risks and mitigation strategies in the Artificial intelligence life cycle.,3,
86,A survey of privacy risks and mitigation strategies in the Artificial intelligence life cycle.,4,
86,A survey of privacy risks and mitigation strategies in the Artificial intelligence life cycle.,5,
86,A survey of privacy risks and mitigation strategies in the Artificial intelligence life cycle.,6,
87,"Digital transformation for sustainable development goals (SDGs)-a security, safety and privacy perspective on AI.",3,
87,"Digital transformation for sustainable development goals (SDGs)-a security, safety and privacy perspective on AI.",4,
87,"Digital transformation for sustainable development goals (SDGs)-a security, safety and privacy perspective on AI.",5,
87,"Digital transformation for sustainable development goals (SDGs)-a security, safety and privacy perspective on AI.",6,
88,Secure privacy-preserving and federated machine learning in medical imaging,2,
88,Secure privacy-preserving and federated machine learning in medical imaging,4,
88,Secure privacy-preserving and federated machine learning in medical imaging,5,
88,Secure privacy-preserving and federated machine learning in medical imaging,6,
89,"Emotion AI at work: Implications for workplace surveillance, emotional labor, and emotional privacy. ",2,
89,"Emotion AI at work: Implications for workplace surveillance, emotional labor, and emotional privacy. ",4,
89,"Emotion AI at work: Implications for workplace surveillance, emotional labor, and emotional privacy. ",5,
89,"Emotion AI at work: Implications for workplace surveillance, emotional labor, and emotional privacy. ",6,
90,Privacy-preserving AI-enabled video surveillance for social distancing: Responsible design and deployment for public spaces,2,
90,Privacy-preserving AI-enabled video surveillance for social distancing: Responsible design and deployment for public spaces,4,
90,Privacy-preserving AI-enabled video surveillance for social distancing: Responsible design and deployment for public spaces,5,
91,Preserving the Healthcare Data by Using PPDM Technique. ,2,
92,Privacy-preserving data (stream) mining techniques and their impact on data mining accuracy: a systematic literature review,2,
93,Privacy-Preserving Data Mining (PPDM),2,
94,IoT privacy-preserving data mining with dynamic incentive mechanism.,2,
